OBJECTID-esriFieldTypeOID,NVCSName-esriFieldTypeString,NVCSLevel-esriFieldTypeString,MapClass-esriFieldTypeString,MapClassID-esriFieldTypeString,Poly_ID-esriFieldTypeInteger,X_Centroid-esriFieldTypeDouble,Y_Centroid-esriFieldTypeDouble,CALVEGName-esriFieldTypeString,CALVEGCode-esriFieldTypeString,CWHRType-esriFieldTypeString,CWHRCode-esriFieldTypeString,GlobalRank-esriFieldTypeString,StateRank-esriFieldTypeString,Rare-esriFieldTypeString,CaCode-esriFieldTypeString,NVCSAlliance-esriFieldTypeString,NVCSGroup-esriFieldTypeString,NVCSMG-esriFieldTypeString,Acres-esriFieldTypeDouble,Hectares-esriFieldTypeDouble
51455,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,51455,333920.22164487,4054146.46810509,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.19085602,1.69597926
54482,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,54482,338837.66147295,4051059.88211258,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,15.57760323,6.30403237
54974,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,54974,339207.31619952,4050706.30201021,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,30.37093121,12.2906798
54984,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,54984,338857.74988011,4050519.47447032,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,26.75043982,10.82551892
55965,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,55965,338887.72257976,4050047.21059865,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,7.19055796,2.90991556
56470,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,56470,343326.25172085,4049769.45694006,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,5.0915451,2.0604752
56516,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,56516,343890.35815101,4049441.7788798,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,41.30145986,16.71410781
57039,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,57039,344455.23699108,4047909.26065636,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,311.55388448,126.08138383
57498,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,57498,341861.94760226,4048318.81007358,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,28.4243133,11.50291148
57502,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,57502,341517.3254561,4048504.54260412,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,9.53598287,3.85907535
